unit_number,max_cycle,total_rows,near_failure_rows,near_failure_pct,sensor_11,sensor_4,sensor_12,sensor_7,sensor_15,sensor_21
40,188,188,31,16.5,47.710531914893615,1415.0474468085106,520.9557978723404,552.8693085106383,8.465751595744681,23.217512234042555
41,216,216,31,14.4,47.46032407407407,1406.1797222222222,521.6876388888888,553.7144907407408,8.4333375,23.312775462962964
42,196,196,31,15.8,47.521989795918365,1408.0980612244896,521.4412244897959,553.4854081632653,8.441483163265307,23.29336224489796
43,207,207,31,15.0,47.45536231884058,1406.0193236714977,521.617342995169,553.6109661835749,8.431158937198068,23.322764734299515
44,192,192,31,16.1,47.47510416666666,1406.4282812499998,521.6411979166667,553.6311458333333,8.434086458333333,23.31836302083333
45,158,158,31,19.6,47.429177215189874,1405.6798734177216,521.7105063291139,553.7805063291139,8.428528481012657,23.327833544303797
46,256,256,31,12.1,47.4365625,1405.2910546875,521.6999609375,553.701796875,8.4274765625,23.328375390625
47,214,214,31,14.5,47.41799065420561,1405.9370093457944,521.7663551401869,553.7608411214953,8.428668691588786,23.325712616822432
48,231,231,31,13.4,47.374545454545455,1404.205670995671,521.9293073593074,553.9108225108225,8.425287445887447,23.340818181818182
49,215,215,31,14.4,47.66572093023255,1412.720093023256,521.0353023255814,552.9147906976743,8.45514511627907,23.25016465116279
50,198,198,31,15.7,47.565555555555555,1409.6450505050504,521.3364141414141,553.3141414141414,8.44340101010101,23.27126363636364
51,213,213,31,14.6,47.365305164319246,1403.7004225352114,521.98,553.9544600938967,8.42395117370892,23.344571830985913
52,213,213,31,14.6,47.63516431924883,1412.036103286385,521.1234272300469,553.0507511737089,8.452023474178404,23.25191220657277
53,195,195,31,15.9,47.548358974358976,1409.1668717948717,521.4589230769232,553.3718461538461,8.442557435897436,23.288628205128205
54,257,257,31,12.1,47.39579766536965,1404.707120622568,521.8129571984435,553.8214396887159,8.426994552529182,23.33356575875486
55,193,193,31,16.1,47.54041450777202,1409.8810362694298,521.4106735751295,553.3428497409326,8.447517098445596,23.276718652849738
56,275,275,31,11.3,47.68061818181818,1413.2729454545454,521.0411636363636,552.9241454545454,8.459756363636364,23.237548363636364
57,137,137,31,22.6,47.54810218978102,1408.1339416058395,521.3622627737227,553.3598540145986,8.444280291970802,23.291389051094892
58,147,147,31,21.1,47.540408163265305,1409.226530612245,521.4275510204083,553.3351700680272,8.441148299319728,23.300921768707482
59,231,231,31,13.4,47.39727272727273,1404.1971428571428,521.7883982683983,553.8303030303031,8.423984415584416,23.346170129870128
60,172,172,31,18.0,47.60343023255814,1410.4560465116278,521.2558720930232,553.1788953488373,8.451056976744185,23.272375581395348
61,185,185,31,16.8,47.38308108108109,1403.8437297297296,521.829027027027,553.8584864864865,8.420772432432432,23.344663783783787
62,180,180,31,17.2,47.73105555555556,1414.3129999999999,520.8875,552.8091666666667,8.465828888888888,23.225393333333336
63,174,174,31,17.8,47.595574712643675,1411.0396551724139,521.3421264367817,553.2867241379311,8.448146551724138,23.273347701149426
64,283,283,31,11.0,47.5978445229682,1410.952332155477,521.2436395759718,553.1859363957597,8.450908480565372,23.269266431095406
65,153,153,31,20.3,47.42947712418301,1405.2318300653594,521.7029411764706,553.6443790849673,8.426630718954248,23.327638562091504
66,202,202,31,15.3,47.73747524752475,1415.377277227723,520.8389108910891,552.7133168316832,8.468051485148514,23.22853168316832
67,313,313,31,9.9,47.575239616613416,1409.8921405750798,521.3028115015975,553.2061980830671,8.447698083067092,23.279103514377
68,199,199,31,15.6,47.59869346733668,1411.4464824120603,521.268040201005,553.2134170854272,8.45216783919598,23.26308944723618
69,362,362,31,8.6,47.54806629834255,1409.2203038674033,521.3897790055249,553.3362430939227,8.441168784530387,23.293399723756906
70,137,137,31,22.6,47.60116788321167,1410.346715328467,521.2236496350365,553.1872262773722,8.448303649635037,23.26889416058394
71,208,208,31,14.9,47.60951923076924,1411.2321634615384,521.2439423076924,553.1838461538462,8.450914423076922,23.26616346153846
72,213,213,31,14.6,47.545680751173705,1409.1856338028167,521.3307511737089,553.2783568075117,8.439146948356807,23.29172253521127
73,213,213,31,14.6,47.72727699530516,1414.7274178403757,520.81,552.724366197183,8.466190610328638,23.22392723004695
74,166,166,31,18.7,47.49620481927711,1407.4051204819277,521.5054819277109,553.5197590361446,8.43615421686747,23.305706024096384
75,229,229,31,13.5,47.66947598253275,1412.991965065502,521.0123580786026,552.9215720524018,8.454670305676856,23.25519781659389
76,210,210,31,14.8,47.69214285714286,1413.5117142857143,520.9520476190476,552.8729047619048,8.462239523809524,23.241240952380952
77,154,154,31,20.1,47.63668831168831,1412.1653246753247,521.1193506493507,553.0092857142856,8.454193506493507,23.253251948051947
78,231,231,31,13.4,47.38298701298701,1403.716233766234,521.8318614718615,553.8667532467532,8.424218614718615,23.343114285714286
79,199,199,31,15.6,47.403015075376885,1404.9919597989951,521.8256281407035,553.7927638190954,8.423856281407035,23.342871356783917
80,185,185,31,16.8,47.65616216216216,1412.6974054054053,521.182,553.0836756756756,8.456337297297297,23.2468
81,240,240,31,12.9,47.60158333333333,1410.8911666666668,521.2532916666667,553.1177083333333,8.450046666666667,23.26130208333333
82,214,214,31,14.5,47.36682242990654,1402.8994859813083,521.9832242990655,554.0126168224299,8.42146214953271,23.35172336448598
83,293,293,31,10.6,47.38938566552901,1403.9166211604095,521.783686006826,553.8729351535836,8.421796245733788,23.34714914675768
84,267,267,31,11.6,47.70003745318352,1414.167265917603,520.941647940075,552.8197003745317,8.4607265917603,23.225906741573034
85,188,188,31,16.5,47.58601063829787,1410.482234042553,521.2309042553192,553.1569680851063,8.446335638297873,23.276134042553192
86,278,278,31,11.2,47.602949640287775,1411.0537769784173,521.2576618705036,553.1709712230215,8.449821582733813,23.26948381294964
87,178,178,31,17.4,47.61303370786517,1410.9055056179775,521.2355617977528,553.1138764044944,8.450568539325843,23.262679775280898
88,213,213,31,14.6,47.50910798122066,1408.5386854460094,521.5353051643193,553.4706572769953,8.438816431924883,23.300927699530515
89,217,217,31,14.3,47.47502304147466,1406.752995391705,521.5773732718894,553.5206912442396,8.43378202764977,23.30948341013825
90,154,154,31,20.1,47.45363636363636,1405.3627272727274,521.6747402597402,553.6068831168832,8.431396103896104,23.319351948051946
91,135,135,31,23.0,47.763555555555556,1416.225777777778,520.8031111111111,552.6388888888889,8.46983037037037,23.22368962962963
92,341,341,31,9.1,47.519677419354835,1408.566246334311,521.4639882697948,553.4329618768329,8.439078592375367,23.292342521994133
93,155,155,31,20.0,47.487806451612904,1406.841612903226,521.5410322580645,553.5605806451613,8.435890967741935,23.309563225806453
94,258,258,31,12.0,47.675232558139534,1413.2953100775194,521.0151937984497,552.9625193798449,8.459730620155039,23.245916666666666
95,283,283,31,11.0,47.404204946996465,1404.808551236749,521.8127561837456,553.8014134275618,8.426179151943463,23.338873851590105
96,336,336,31,9.2,47.515,1407.8899702380954,521.4546130952381,553.4580654761905,8.438163095238096,23.300242857142855
97,202,202,31,15.3,47.435742574257425,1405.8882673267326,521.7158910891089,553.725099009901,8.429249504950494,23.326632673267326
98,156,156,31,19.9,47.46,1406.2709615384615,521.6564743589744,553.6277564102563,8.433158974358975,23.331570512820512
99,185,185,31,16.8,47.50027027027026,1407.7401081081082,521.5117297297297,553.5052432432433,8.435238918918918,23.305792432432433
100,200,200,31,15.5,47.5974,1410.2673000000002,521.2917,553.14455,8.4479065,23.2692715
